id,name,type
790,122-69-0,COMPOUND
791,89-80-5,COMPOUND
792,106-36-5,COMPOUND
793,99-83-2,COMPOUND
794,689-67-8,COMPOUND
795,103-95-7,COMPOUND
796,4906-24-5,COMPOUND
797,499-12-7,COMPOUND
798,111-27-3,COMPOUND
799,579-07-7,COMPOUND
800,109-94-4,COMPOUND
801,126-96-5,COMPOUND
802,42348-12-9,COMPOUND
803,141-16-2,COMPOUND
804,111-82-0,COMPOUND
805,102-13-6,COMPOUND
806,78-83-1,COMPOUND
807,5421-17-0,COMPOUND
808,29926-41-8,COMPOUND
809,105-79-3,COMPOUND
810,1401-55-4,COMPOUND
811,544-63-8,COMPOUND
812,4501-58-0,COMPOUND
813,698-76-0,COMPOUND
814,623-15-4,COMPOUND
815,102-19-2,COMPOUND
816,85392-04-7,COMPOUND
817,4643-27-0,COMPOUND
818,3188-00-9,COMPOUND
819,540-63-6,COMPOUND
820,51755-66-9,COMPOUND
821,106-27-4,COMPOUND
822,90-02-8,COMPOUND
823,56-86-0,COMPOUND
824,496-77-5,COMPOUND
825,710-04-3,COMPOUND
826,53398-85-9,COMPOUND
827,497-03-0,COMPOUND
828,56-40-6,COMPOUND
829,617-50-5,COMPOUND
830,57576-09-7,COMPOUND
831,699-10-5,COMPOUND
832,110-17-8,COMPOUND
833,7779-81-9,COMPOUND
834,7416-35-5,COMPOUND
835,140-88-5,COMPOUND
836,7786-61-0,COMPOUND
837,124-04-9,COMPOUND
838,13552-96-0,COMPOUND
839,94-30-4,COMPOUND
840,88-69-7,COMPOUND
841,32736-91-7,COMPOUND
842,491-07-6,COMPOUND
843,13481-87-3,COMPOUND
844,103-61-7,COMPOUND
845,3008-43-3,COMPOUND
846,31499-72-6,COMPOUND
847,119-36-8,COMPOUND
848,1073-11-6,COMPOUND
849,2179-60-4,COMPOUND
850,290-37-9,COMPOUND
851,1073-29-6,COMPOUND
852,7779-70-6,COMPOUND
853,64-04-0,COMPOUND
854,105-53-3,COMPOUND
855,13019-20-0,COMPOUND
856,112-23-2,COMPOUND
857,103-37-7,COMPOUND
858,21834-92-4,COMPOUND
859,1878-18-8,COMPOUND
860,2305-25-1,COMPOUND
861,118-71-8,COMPOUND
862,5870-93-9,COMPOUND
863,38462-22-5,COMPOUND
864,977161-98-0,COMPOUND
865,105-66-8,COMPOUND
866,644-49-5,COMPOUND
867,101-41-7,COMPOUND
868,142-19-8,COMPOUND
869,977136-80-3,COMPOUND
870,113486-29-6,COMPOUND
871,23747-48-0,COMPOUND
872,21063-71-8,COMPOUND
873,623-70-1,COMPOUND
874,42436-07-7,COMPOUND
875,925-78-0,COMPOUND
876,97-67-6,COMPOUND
877,105-57-7,COMPOUND
878,692-86-4,COMPOUND
879,628-97-7,COMPOUND
880,104-67-6,COMPOUND
881,7785-33-7,COMPOUND
882,43039-98-1,COMPOUND
883,21944-98-9,COMPOUND
884,619-01-2,COMPOUND
