compound_id,rel_type,ingredient_id
1012,COMP_PART_OF,963
1092,COMP_PART_OF,963
620,COMP_PART_OF,963
260,COMP_PART_OF,963
886,COMP_PART_OF,963
132,COMP_PART_OF,963
632,COMP_PART_OF,963
957,COMP_PART_OF,963
1021,COMP_PART_OF,963
347,COMP_PART_OF,509
693,COMP_PART_OF,1174
272,COMP_PART_OF,1174
345,COMP_PART_OF,1174
981,COMP_PART_OF,1174
1040,COMP_PART_OF,1174
423,COMP_PART_OF,1174
424,COMP_PART_OF,1174
902,COMP_PART_OF,1174
1043,COMP_PART_OF,1174
211,COMP_PART_OF,1174
630,COMP_PART_OF,1174
282,COMP_PART_OF,1174
972,COMP_PART_OF,1174
288,COMP_PART_OF,1174
909,COMP_PART_OF,1174
363,COMP_PART_OF,1174
836,COMP_PART_OF,1174
1054,COMP_PART_OF,1174
983,COMP_PART_OF,1174
228,COMP_PART_OF,1174
305,COMP_PART_OF,1174
918,COMP_PART_OF,1174
93,COMP_PART_OF,1174
920,COMP_PART_OF,1174
292,COMP_PART_OF,1174
285,COMP_PART_OF,1174
990,COMP_PART_OF,1174
703,COMP_PART_OF,1174
234,COMP_PART_OF,1174
1064,COMP_PART_OF,1174
725,COMP_PART_OF,1174
925,COMP_PART_OF,1174
27,COMP_PART_OF,1174
103,COMP_PART_OF,1174
728,COMP_PART_OF,1174
526,COMP_PART_OF,1174
107,COMP_PART_OF,1174
311,COMP_PART_OF,1174
734,COMP_PART_OF,1174
798,COMP_PART_OF,1174
599,COMP_PART_OF,1174
533,COMP_PART_OF,1174
1077,COMP_PART_OF,1174
40,COMP_PART_OF,1174
247,COMP_PART_OF,1174
1082,COMP_PART_OF,1174
742,COMP_PART_OF,1174
400,COMP_PART_OF,1174
745,COMP_PART_OF,1174
850,COMP_PART_OF,1174
1104,COMP_PART_OF,1174
1013,COMP_PART_OF,1174
235,COMP_PART_OF,1174
611,COMP_PART_OF,1174
548,COMP_PART_OF,1174
1025,COMP_PART_OF,1174
136,COMP_PART_OF,1174
203,COMP_PART_OF,1174
871,COMP_PART_OF,1174
204,COMP_PART_OF,1174
555,COMP_PART_OF,1174
960,COMP_PART_OF,1174
118,COMP_PART_OF,1174
374,COMP_PART_OF,1065
249,COMP_PART_OF,1057
249,COMP_PART_OF,1111
607,COMP_PART_OF,535
62,COMP_PART_OF,602
68,COMP_PART_OF,94
761,COMP_PART_OF,94
345,COMP_PART_OF,94
1040,COMP_PART_OF,94
628,COMP_PART_OF,94
424,COMP_PART_OF,94
704,COMP_PART_OF,94
705,COMP_PART_OF,94
431,COMP_PART_OF,94
292,COMP_PART_OF,94
155,COMP_PART_OF,94
772,COMP_PART_OF,94
156,COMP_PART_OF,94
296,COMP_PART_OF,94
158,COMP_PART_OF,94
257,COMP_PART_OF,94
229,COMP_PART_OF,94
645,COMP_PART_OF,94
90,COMP_PART_OF,94
922,COMP_PART_OF,94
1062,COMP_PART_OF,94
1064,COMP_PART_OF,94
657,COMP_PART_OF,94
449,COMP_PART_OF,94
